"","SJCI1_93","LCI2_93","GHCI3_93","CCCI4_93","Wyk"
"1",8933.07944073,98.11,0.992390836000062,1079.52659413742,5720.91876213
"2",8950.7980233,114.052272727273,0.873303935680054,1079.60914413742,6849.49665301
"3",8914.85034936,86.2963963963964,1.10155382796007,1079.45514413742,4333.96843744
"4",8925.02910956,92.4619047619047,1.04201037780006,1079.49364413742,4890.69007158
"5",8974.22645051,149.78115942029,0.684749676840043,1079.75239413742,8319.79343086
"6",8965.05299996,132.702597402597,0.764140943720048,1079.68994413742,7818.21460175
"7",8913.09891145,85.3267857142857,1.11147773632007,1079.44884413742,4136.9277462
"8",8939.23696233,103.014583333333,0.952695202560059,1079.55349413742,6181.29560356
"9",8949.40786855,112.57191011236,0.883227844040055,1079.60204413742,6662.86248745
"10",8962.60255769,128.948101265823,0.783988760440049,1079.67484413742,7673.63065385
"11",8950.7980233,114.052272727273,0.873303935680054,1079.60914413742,6849.49665301
"12",8870.59316287,67.2791044776119,1.32980372024008,1079.31654413742,2993.6157858
"13",8890.85643547,74.7854838709677,1.23056463664008,1079.37519413742,3263.3215151
"14",8933.07944073,98.11,0.992390836000062,1079.52659413742,5720.91876213
"15",8827.76540097,55.3601307189542,1.51835797908009,1079.21079413742,1823.4510621
"16",8925.02910956,92.4619047619047,1.04201037780006,1079.49364413742,4890.69007158
"17",8926.67059172,93.5519230769231,1.03208646944006,1079.50019413742,5150.46051411
"18",8921.69902134,90.3373831775701,1.06185819452007,1079.48069413742,4624.27516057
"19",8973.13474706,147.442857142857,0.694673585200043,1079.74439413742,8204.33990083
"20",8913.09891145,85.3267857142857,1.11147773632007,1079.44884413742,4136.9277462
"21",8985.19846285,180.596551724138,0.575586684880036,1079.84459413742,8787.43520532
"22",8902.26041677,79.8186440677966,1.17102118648007,1079.41154413742,3608.4019061
"23",8929.90643215,95.7901960784314,1.01223865272006,1079.51329413742,5318.73207061
"24",8933.07944073,98.11,0.992390836000062,1079.52659413742,5720.91876213
"25",8949.40786855,112.57191011236,0.883227844040055,1079.60204413742,6662.86248745
"26",8986.98917067,187.453571428571,0.555738868160035,1079.86224413742,8839.37358587
"27",8866.35201277,65.8926470588235,1.34965153696008,1079.30504413742,2705.2097262
"28",8956.20156266,120.302380952381,0.833608302240052,1079.63789413742,7087.33092485
"29",8914.85034936,86.2963963963964,1.10155382796007,1079.45514413742,4333.96843744
"30",8963.83563281,130.802564102564,0.774064852080048,1079.68234413742,7722.64735323
"31",8734.02813017,38.7053191489362,1.86569477168012,1079.03204413742,0
"32",8813.06274737,52.0937106918239,1.5779014292401,1079.17879413742,1041.5793364
"33",8943.69016992,106.947311827957,0.922923477480058,1079.57409413742,6396.94237729
"34",8832.54062187,56.4960264900662,1.49851016236009,1079.22159413742,2191.1587743
"35",8972.02733565,145.167605633803,0.704597493560044,1079.73644413742,8164.74797941
"36",8939.23696233,103.014583333333,0.952695202560059,1079.55349413742,6181.29560356
"37",8990.38209073,202.703846153846,0.516043234720032,1079.89859413742,8959.08397392
"38",8956.20156266,120.302380952381,0.833608302240052,1079.63789413742,7087.33092485
"39",8902.26041677,79.8186440677966,1.17102118648007,1079.41154413742,3608.4019061
"40",8957.51317759,121.953012048193,0.823684393880051,1079.64519413742,7309.00170249
"41",8931.50079042,96.939603960396,1.00231474436006,1079.51994413742,5400.44489553
"42",8961.35377461,127.1375,0.793912668800049,1079.66734413742,7522.83420647
"43",8952.17247008,115.564367816092,0.863380027320054,1079.61624413742,6971.13912055
"44",8969.76538894,140.795890410959,0.724445310280045,1079.72074413742,8040.32520236
"45",8827.76540097,55.3601307189542,1.51835797908009,1079.21079413742,1823.4510621
"46",8998.41671394,259.582926829268,0.406880242760025,1080.00644413742,8998.41671394
"47",8984.279547,177.337288135593,0.585510593240037,1079.83584413742,8760.09549525
"48",8982.39459141,171.129508196721,0.605358409960038,1079.81864413742,8701.64616393
"49",8936.18961746,100.516326530612,0.972543019280061,1079.53999413742,5956.53821115
"50",8993.52368339,220.429166666667,0.47634760128003,1079.93634413742,8980.32114026
"51",8822.92734827,54.2483870967742,1.5382057958001,1079.20009413742,1634.7591533
"52",8925.02910956,92.4619047619047,1.04201037780006,1079.49364413742,4890.69007158
"53",8815.55245957,52.6240506329114,1.5679775208801,1079.18409413742,1438.6923558
"54",8970.90421628,142.952777777778,0.714521401920045,1079.72859413742,8124.03293862
"55",8977.40731307,157.20303030303,0.654977951760041,1079.77674413742,8468.28866162
"56",8977.40731307,157.20303030303,0.654977951760041,1079.77674413742,8468.28866162
"57",8989.55742266,198.681132075472,0.525967143080033,1079.88939413742,8937.02213951
"58",8986.98917067,187.453571428571,0.555738868160035,1079.86224413742,8839.37358587
"59",8968.61085364,138.694594594595,0.734369218640046,1079.71294413742,7997.31679893
"60",8982.39459141,171.129508196721,0.605358409960038,1079.81864413742,8701.64616393
"61",8736.97337327,39.1128342245989,1.85577086332012,1079.03689413742,277.5911269
"62",8900.39902317,78.9487394957983,1.18094509484007,1079.40544413742,3497.1816722
"63",8977.40731307,157.20303030303,0.654977951760041,1079.77674413742,8468.28866162
"64",8765.56186647,43.3790960451977,1.75653177972011,1079.08629413742,552.2370107
"65",8967.44061038,136.646666666667,0.744293127000046,1079.70524413742,7864.78085886
"66",8978.43618467,159.823076923077,0.64505404340004,1079.78499413742,8570.92449362
"67",8978.43618467,159.823076923077,0.64505404340004,1079.78499413742,8570.92449362
"68",8957.51317759,121.953012048193,0.823684393880051,1079.64519413742,7309.00170249
"69",8986.98917067,187.453571428571,0.555738868160035,1079.86224413742,8839.37358587
"70",8949.40786855,112.57191011236,0.883227844040055,1079.60204413742,6662.86248745
"71",8813.06274737,52.0937106918239,1.5779014292401,1079.17879413742,1041.5793364
"72",8945.14315652,108.310869565217,0.912999569120057,1079.58099413742,6464.87146444
"73",8898.52192157,78.0916666666667,1.19086900320007,1079.39934413742,3384.0843367
"74",8969.76538894,140.795890410959,0.724445310280045,1079.72074413742,8040.32520236
"75",8956.20156266,120.302380952381,0.833608302240052,1079.63789413742,7087.33092485
"76",8974.22645051,149.78115942029,0.684749676840043,1079.75239413742,8319.79343086
"77",8961.35377461,127.1375,0.793912668800049,1079.66734413742,7522.83420647
"78",8931.50079042,96.939603960396,1.00231474436006,1079.51994413742,5400.44489553
"79",8973.13474706,147.442857142857,0.694673585200043,1079.74439413742,8204.33990083
"80",8909.54891177,83.4333333333333,1.13132555304007,1079.43629413742,4034.8574009
"81",8980.44680396,165.303174603175,0.625206226680039,1079.80169413742,8670.47371082
"82",8851.01318667,61.3013986013986,1.41911889548009,1079.26559413742,2544.6036558
"83",8958.80908456,123.641463414634,0.813760485520051,1079.65254413742,7417.21386145
"84",8961.35377461,127.1375,0.793912668800049,1079.66734413742,7522.83420647
"85",8940.73707282,104.3,0.942771294200059,1079.56034413742,6326.06019304
"86",8954.87423976,118.688235294118,0.843532210600053,1079.63064413742,7030.58590754
"87",8923.37191943,91.3905660377359,1.05193428616007,1079.48714413742,4714.1953963
"88",8974.22645051,149.78115942029,0.684749676840043,1079.75239413742,8319.79343086
"89",8914.85034936,86.2963963963964,1.10155382796007,1079.45514413742,4333.96843744
"90",8907.75034997,82.5086956521739,1.14124946140007,1079.43009413742,3827.1195867
"91",8967.44061038,136.646666666667,0.744293127000046,1079.70524413742,7864.78085886
"92",8928.29636592,94.6611650485437,1.02216256108006,1079.50674413742,5235.40917946
"93",8986.10167074,183.966666666667,0.565662776520035,1079.85339413742,8813.85599954
"94",8978.43618467,159.823076923077,0.64505404340004,1079.78499413742,8570.92449362
"95",8931.50079042,96.939603960396,1.00231474436006,1079.51994413742,5400.44489553
"96",8987.86096263,191.063636363636,0.545814959800034,1079.87119413742,8913.26384507
"97",8973.13474706,147.442857142857,0.694673585200043,1079.74439413742,8204.33990083
"98",8768.33432197,43.8261363636364,1.74660787136011,1079.09129413742,798.2944013
"99",8963.83563281,130.802564102564,0.774064852080048,1079.68234413742,7722.64735323
"100",8937.72114388,101.753608247423,0.96261911092006,1079.54674413742,6107.39749037
"101",8945.14315652,108.310869565217,0.912999569120057,1079.58099413742,6464.87146444
"102",8967.44061038,136.646666666667,0.744293127000046,1079.70524413742,7864.78085886
"103",8975.30244599,152.185294117647,0.674825768480042,1079.76044413742,8431.97185054
"104",8931.50079042,96.939603960396,1.00231474436006,1079.51994413742,5400.44489553
"105",8956.20156266,120.302380952381,0.833608302240052,1079.63789413742,7087.33092485
"106",8958.80908456,123.641463414634,0.813760485520051,1079.65254413742,7417.21386145
"107",8907.75034997,82.5086956521739,1.14124946140007,1079.43009413742,3827.1195867
"108",8837.25301077,57.6570469798658,1.47866234564009,1079.23249413742,2370.2374095
"109",8882.93962197,71.6609375,1.27026027008008,1079.35144413742,3134.64188
"110",8923.37191943,91.3905660377359,1.05193428616007,1079.48714413742,4714.1953963
"111",8868.48044177,66.5814814814815,1.33972762860008,1079.31079413742,2850.4769705
"112",8946.58043516,109.702197802198,0.903075660760056,1079.58799413742,6597.82366554
"113",8936.18961746,100.516326530612,0.972543019280061,1079.53999413742,5956.53821115
